Name                  NumberOfMembers  CurrentlyActive  Name              SongTitle   year        Ranking     Genre       OtherFeat   Video     
--------------------  ---------------  ---------------  ----------------  ----------  ----------  ----------  ----------  ----------  ----------
Enrique Iglesias      1                1                Enrique Iglesias  Bailando    2014        2           pop         2           yes       
Enrique Iglesias      1                1                Enrique Iglesias  Finally Fo  2012        1           pop         1           yes       
Eminem                1                1                Eminem            Cold Wind   2010        4           rap         0           no        
Eminem                1                1                Eminem            No Love     2010        3           hip-hop     1           yes       
Pitbull               1                1                Pitbull           Hope We Me  2012        6           pop         1           yes       
Pitbull               1                1                Pitbull           Internatio  2011        5           hip-hop     1           yes       
Chris Brown           1                1                Chris Brown       Yeah x3     2011        7           r&b         0           yes       
Linkin Park           5                1                Linkin Park       Bleed it O  2007        9           hard rock   0           yes       
Linkin Park           5                1                Linkin Park       Guilty all  2014        10          metal       1           no        
Linkin Park           5                1                Linkin Park       In the End  2000        8           metal       0           yes       
Coldplay              4                1                Coldplay          The Scient  2002        11          rock        0           yes       
Akon                  1                1                Akon              Beautiful   2008        12          pop         2           yes       
The Beatles           4                0                The Beatles       Twist & Sh  1963        15          rock        0           no        
AR Rahman             1                1                AR Rahman         Maa Tuje S  1997        14          pop         0           no        
David Bowie           1                0                David Bowie       Heroes      1977        13          rock        0           yes       
